Kingdom;Phylum;Class;Order;Family;Genus;Species
01aa2f3f5ed1b936616c597052df259c;NA;Pseudomonadota;Alphaproteobacteria;NA;NA;NA;NA
01b22d8ee3be20941cf7c1832e20d170;NA;Actinomycetota;MB-A2-108;NA;NA;NA;NA
01b666d4afe8e548cd10534471a271a3;NA;Bacillota;Bacilli;Bacillales;Planococcaceae;Planococcus;NA
01c3ba8f14af7986a9035807955bdacb;NA;Elusimicrobiota;Lineage IIb;NA;NA;NA;NA
01cb2b2b24587dfb555c8b39e4b4d853;NA;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;NA
01d3daecf4c929a2a8a0ef9f2fff6751;NA;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;NA
01dfabe5f26d66b2c7edf824debe9ead;NA;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;NA
01e487d8ad28bb9df92f3ad4b7907076;NA;Pseudomonadota;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Geminicoccus;NA
01fc9905be9bd9925a038d8602d30ba6;NA;Actinomycetota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;NA;NA
02035745856fdf439c8f6d183e0ba819;NA;Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Sulfurifustis;NA
02045a767c3f76c46f13a4045c1a6342;NA;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;NA
0220bd4153f3aaac3dc7c75fa63db658;NA;Actinomycetota;MB-A2-108;NA;NA;NA;NA
0221565e621d7b69ae8111daaf8ed8d4;NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;B1-7BS;NA;NA
023ef86425487f7dce7ad9692a4205c2;NA;Actinomycetota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;NA
023fc430c87e9ec31f44c7b9a30d0a0b;NA;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Cohnella;NA
024a06f72eda840e3852794a9f78fe7e;NA;Chloroflexota;TK10;NA;NA;NA;NA
024c0888805f68b2e44a2093ffdb62a2;NA;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;NA
0267895f33147446131c685183194ad5;NA;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;NA;NA
026f0f3db56139897c1ab7f7b4608513;NA;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;NA;NA
0271f02944853930b863b86a241dc961;NA;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA;NA
02864f3e3133ce656472f574d8248437;NA;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;NA;NA
028aef34b46a15a5ec9c362718562f53;NA;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;NA;NA
028db643c8c4b782f98383d1a8a0ca1f;NA;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;NA
02923f0c0286ea0e6b73f4a2ec57343b;NA;Methylomirabilota;Methylomirabilia;Rokubacteriales;NA;NA;NA
0293b68e9aa12ea1f7217566aa896822;NA;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;HSB OF53-F07;NA
02b1115623b0c906b8a137c9e9ba432f;NA;Pseudomonadota;Gammaproteobacteria;Rickettsiellales;Rickettsiellaceae;Aquicella;NA
02b242dae537572d3ba0bbe3d9089859;NA;Myxococcota;Polyangiia;Haliangiales;Haliangiaceae;NA;NA
02b47600957fd5a8c223897d4dffc430;NA;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;NA;NA
02b9859b1c517a66845b90e80cf658fe;NA;Actinomycetota;Actinobacteria;Mycobacteriales;Nocardiaceae;Rhodococcus;NA
02b9d7f9b10d8eef546ec8789588f8df;NA;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;NA
02bed5adc7038f6a33245f5eea3f4b1d;NA;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Baekduia;NA
02c10290c441ff198f8b8d2959431870;NA;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;NA
02d0a8b772f6bb4e13e1419a4c0162c5;NA;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;NA
02d848c90b57ca20507ca6d1079014bc;NA;Verrucomicrobiota;Verrucomicrobiia;Opitutales;Opitutaceae;Opitutus;NA
02e277b9cfd766b71b05afb2c03341e2;NA;Pseudomonadota;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Candidatus Alysiosphaera;NA
02e6190ddb52bd6dd8754498fcec0c0d;NA;Actinomycetota;MB-A2-108;NA;NA;NA;NA
02fc07af5db3c3ac4b20ec12317b9efe;NA;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales;Chthoniobacteraceae;Candidatus Udaeobacter;NA
030144e51473cb8e499956a12c413fa0;NA;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;NA
030feb8afe8f332305c97d063d4f2719;NA;Latescibacterota;NA;NA;NA;NA;NA
0316ced29c638fe5302a6b4a71cb5efc;NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;SC-I-84;NA;NA
03207bb10559dc6716d2f66a95ab0a70;NA;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14;NA;NA
0322f9391e235d3a0b0b6c3d838829c7;NA;Methylomirabilota;Methylomirabilia;Methylomirabilales;Methylomirabilaceae;wb1-A12;NA
033025906a5664629c1ffd7f4daa4e05;NA;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;NA
03308536ebea94b697d4250e49babbdf;NA;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;NA;NA
0334418b1c093102a8c90ffa273ff17e;NA;Gemmatimonadota;S0134 terrestrial group;NA;NA;NA;NA
035fe7c84e0c4ffa39c0d8a4ff94cad4;NA;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;NA;NA;NA
0366b118332e9b1c0f71060c3cab091b;NA;Actinomycetota;Acidimicrobiia;Microtrichales;Iamiaceae;Aquihabitans;NA
036c084bfc37eef645875be859966069;NA;Acidobacteriota;Acidobacteriae;Subgroup 15;NA;NA;NA
036f7f94d0dfbef701c90d5984860a84;NA;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Cypionkella;NA
037001bd39ef1c247b76c373186d7de5;NA;Actinomycetota;MB-A2-108;NA;NA;NA;NA
038b7243cdae7ce5b95463c1cec3ffae;NA;Chloroflexota;Chloroflexia;Chloroflexales;Herpetosiphonaceae;Herpetosiphon;NA
038c92ffa6201ac5448d215b0a0483ce;NA;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;NA;NA
039053e67e9340064b01021a86f61d1a;NA;Gemmatimonadota;Longimicrobiia;Longimicrobiales;Longimicrobiaceae;NA;NA
03978922c0cc6272ce0265b726e58a2b;NA;Pseudomonadota;Gammaproteobacteria;Arenicellales;Arenicellaceae;NA;NA
0398ad9f681f77dd0a821f99a3692ab2;NA;Deinococcota;Deinococci;Deinococcales;Trueperaceae;Truepera;NA
039a5a08aaaff5db2386af0372487c13;NA;Myxococcota;Polyangiia;Polyangiales;Sandaracinaceae;NA;NA
03a59d6f5ac2fb0f6e0eaf8e67e315b7;NA;Myxococcota;Polyangiia;Polyangiales;Sandaracinaceae;NA;NA
03aa347439f7292100d0b76ebadeca07;NA;Pseudomonadota;Alphaproteobacteria;Elsterales;NA;NA;NA
03b66c04f9272772ff39af54c4101783;NA;Cyanobacteriota;Cyanobacteriia;Chloroplast;NA;NA;NA
03c43a5e8b9552c02d757adea85b9c0b;NA;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;NA
03c97500cf1690b5a08df947074cb2a8;NA;Latescibacterota;NA;NA;NA;NA;NA
03c9abf2d2e318b7e4a6042702b795f5;NA;Actinomycetota;Acidimicrobiia;Microtrichales;NA;NA;NA
03df2dc775e146553ce355e05dc42eb0;NA;Acidobacteriota;Acidobacteriae;AKIW659;NA;NA;NA
03e541b9f60c9d1b8e63010c3f853f37;NA;Actinomycetota;MB-A2-108;NA;NA;NA;NA
04035adcfddb7c1fafeb82739b0d3f51;NA;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;BD1-7 clade;NA
0408bb362e85e4874ec4280283750952;NA;Bacillota;Bacilli;Bacillales;Bacillaceae;Metabacillus;NA
040b7b2091550fa05e3090538eccce4e;NA;Acidobacteriota;Holophagae;Subgroup 7;NA;NA;NA
040f1fe25f38d601d78fdff01fcd31d3;NA;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;NA
04167b7063d7f0013a5b9448e4d8239b;NA;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;NA
0426ffbda8572a53f2b844680650aca3;NA;Acidobacteriota;Holophagae;Subgroup 7;NA;NA;NA
042a5b417474028507a5b7813ce53328;NA;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;NA;NA
042cb4f890baaf594dfd72aba1d78683;NA;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA;NA
042ce8238aa5a9d856c6f70aa8570a95;NA;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methyloligellaceae;NA;NA
04318d53f7a37e608ec73caf7c244afb;NA;Chloroflexota;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;NA;NA
043766a4495afbe9a8708c172e6c9d74;NA;Acidobacteriota;Blastocatellia;2024-11-01 00:00:00;NA;NA;NA
044160fd61aa6bcb85aefe51627fdb2b;NA;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;NA;NA
04479a1f611751c657033037d19c6685;NA;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Chiayiivirga;NA
